food_id,food_name,food_type,city,district,address,longitude,latitude,rating,price_range,special_features,is_recommended
12,韩邦朝天锅,街边小吃,潍坊市,奎文区,奎文区东风东街345号,119.1500,36.7100,4.4,20-60元,潍坊朝天锅源于清代乾隆年间，以饼卷猪头肉、猪杂为主，配以葱段、香菜和秘制酱料，热汤免费续饮。,1
13,船歌鱼水饺,餐厅,青岛市,市南区,市南区闽江路12号,120.3800,36.0600,4.7,80-300元,结合青岛海洋文化和渔家传统，以海鲜水饺为特色，墨鱼水饺、黄花鱼水饺等独具风味。,1
14,沂蒙煎饼坊,街边小吃,临沂市,兰山区,兰山区解放路156号,118.3400,35.0600,4.1,5-30元,沂蒙煎饼是革命老区的传统主食，以小米、玉米、地瓜等杂粮制成，薄如纸，柔似缎，可卷大葱、酱菜食用。,0
15,枣庄辣子鸡总店,餐厅,枣庄市,市中区,市中区青檀路89号,117.5500,34.8600,4.5,60-200元,枣庄辣子鸡选用本地小公鸡，配以大量青红辣椒和枣庄特色薄皮辣椒，麻辣鲜香，是鲁南地区代表菜。,1
16,魏氏熏鸡,食品店,聊城市,东昌府区,东昌府区古楼西街34号,115.9700,36.4500,4.3,40-120元,聊城铁公鸡（魏氏熏鸡）已有200多年历史，骨酥肉烂，熏香浓郁，可撕丝食用，是聊城特产。,0
17,邢家锅子饼,街边小吃,滨州市,滨城区,滨城区渤海七路56号,118.0200,37.3800,4.2,10-35元,滨州锅子饼起源于清代，薄饼卷炒菜，外酥里嫩，有猪肉、牛肉、海鲜等多种馅料。,0
18,王家甏肉干饭,快餐店,济宁市,任城区,任城区太白楼路78号,116.5900,35.4100,4.6,20-50元,济宁甏肉干饭是传统快餐，甏肉肥而不腻，米饭用甏肉汤汁浇灌，配以卷煎、面筋、豆腐等。,1
19,烟台焖子摊,街边小吃,烟台市,芝罘区,芝罘区所城里老街,121.3900,37.5400,4.0,8-20元,烟台焖子以凉粉为主料，煎至金黄，配以芝麻酱、蒜汁、虾油等调料，是烟台特色街头小吃。,0
20,泰山三美餐厅,餐厅,泰安市,泰山区,泰山区天外村路23号,117.1000,36.2000,4.4,100-350元,泰山三美指白菜、豆腐、水，用泰山泉水制作的豆腐宴，配以泰山白菜，体现泰山的饮食文化。,1
21,鲅鱼水饺店,餐厅,威海市,环翠区,环翠区海滨北路45号,122.1200,37.5000,4.5,60-200元,威海鲅鱼水饺是胶东特色，选用新鲜鲅鱼做馅，配以韭菜、猪肉，皮薄馅大，鲜美多汁。,1
22,日照绿茶茶馆,茶馆,日照市,东港区,东港区海曲中路78号,119.4600,35.4200,4.3,30-150元,日照绿茶配以鲁南五大调表演，体验茶文化与民间音乐的结合，是日照特色文化体验场所。,0
23,春和楼香酥鸡,餐厅,青岛市,市南区,市南区中山路146号,120.3168,36.0635,4.6,60-150元,春和楼是中华老字号，香酥鸡更是其招牌菜，皮酥肉嫩，香味浓郁，是青岛鲁菜的代表。,1
24,聚丰德济南烤鸭,餐厅,济南市,市中区,济南市市中区经五路11号,117.0041,36.6576,4.7,80-200元,聚丰德烤鸭是济南传统名菜，鸭皮酥脆，肉质细嫩，肥而不腻，带有果木清香，是济南非遗美食。,1
25,王哥庄大馒头,食品店,青岛市,崂山区,青岛市崂山区王哥庄街道,120.6400,36.2678,4.8,20-100元,王哥庄大馒头专供面粉，手工揉制，铁锅蒸熟，麦香浓郁，造型各异，是岛城名优特产。,1
26,朝阳糁馆,街边小吃,临沂市,罗庄区,临沂市罗庄区金雀山路193号,118.3500,35.0500,4.5,10-30元,临沂糁（Sá）是一种传统名吃，以牛羊肉汤为底，配以麦仁等，汤浓味美，营养丰富，早餐首选。,1
27,盈旺和乐,街边小吃,潍坊市,奎文区,潍坊市奎文区彩虹路与北宫街交叉口,119.1550,36.7150,4.4,15-40元,潍坊和乐是一种传统面食，用饸饹床子压制而成，配以鸡鸭肉卤、肉丸、蛋皮等，口感爽滑劲道。,0
28,利津水煎包老店,街边小吃,东营市,东营区,东营市东营区清风湖公园附近,118.6600,37.4200,4.5,15-40元,利津水煎包是省级非遗，始于清代，扬名民国，皮薄馅大，底脆面软，兼具水煮、汽蒸、油煎风味。,1
29,史口烧鸡专卖,食品店,东营市,东营区,东营市东营区史口镇商业街,118.5200,37.4000,4.4,30-80元,史口烧鸡技艺是省级非遗，鲁北名吃，醇香入骨，酥脆可口，淡咸适度，是东营特色传统美食。,0
